id,annotator,start,end,category,class,
21914480_1641314958306,21914480,959,967,Syntaxe : Verbe,unit,
21914480_1641314960979,21914480,1000,1004,Syntaxe : Verbe,unit,
21914480_1641314963834,21914480,1027,1032,Syntaxe : Verbe,unit,
21914480_1641314965819,21914480,1032,1040,Syntaxe : Verbe,unit,
21914480_1641314972383,21914480,1077,1081,Syntaxe : Verbe,unit,
21914480_1641314979719,21914480,1096,1101,Syntaxe : Verbe,unit,
21914480_1641314986703,21914480,1119,1127,Syntaxe : Verbe,unit,
21914480_1641315097899,21914480,1128,1139,Syntaxe : Verbe,unit,
21914480_1641315103601,21914480,1182,1186,Syntaxe : Verbe,unit,
21914480_1641315105876,21914480,1206,1212,Syntaxe : Verbe,unit,
21914480_1641315172836,21914480,1269,1273,Syntaxe : Verbe,unit,
21914480_1641315175045,21914480,1280,1291,Syntaxe : Verbe,unit,
21914480_1641315177282,21914480,1314,1328,Syntaxe : Verbe,unit,
21914480_1641315180448,21914480,1348,1357,Syntaxe : Verbe,unit,
21914480_1641315182641,21914480,1364,1369,Syntaxe : Verbe,unit,
21914480_1641315216963,21914480,1395,1399,Syntaxe : Verbe,unit,
21914480_1641315236696,21914480,1480,1486,Syntaxe : Verbe,unit,
21914480_1641315244083,21914480,1544,1551,Syntaxe : Verbe,unit,
21914480_1641315246781,21914480,1561,1567,Syntaxe : Verbe,unit,
21914480_1641315248743,21914480,1571,1581,Syntaxe : Verbe,unit,
21914480_1641315258693,21914480,1590,1593,Syntaxe : Verbe,unit,
21914480_1641315277183,21914480,1628,1630,Syntaxe : Verbe,unit,
21914480_1641315280030,21914480,1631,1637,Syntaxe : Verbe,unit,
21914480_1641315286583,21914480,1679,1685,Syntaxe : Verbe,unit,
21914480_1641315290910,21914480,1715,1720,Syntaxe : Verbe,unit,
21914480_1641315303309,21914480,1769,1773,Syntaxe : Verbe,unit,
21914480_1641315569553,21914480,2144,2322,Structure : Strophe,unit,
21914480_1641315625549,21914480,42,75,Syntaxe : Syntagme nominal,unit,
21914480_1641315655598,21914480,76,84,Syntaxe : Syntagme nominal,unit,
21914480_1641315658313,21914480,97,112,Syntaxe : Syntagme nominal,unit,
21914480_1641315687025,21914480,241,259,Syntaxe : Syntagme nominal,unit,
21914480_1641315703679,21914480,323,341,Syntaxe : Syntagme nominal,unit,
21914480_1641315720459,21914480,435,463,Syntaxe : Syntagme nominal,unit,
21914480_1641315728726,21914480,517,534,Syntaxe : Syntagme nominal,unit,
21914480_1641315730509,21914480,536,555,Syntaxe : Syntagme nominal,unit,
21914480_1641315754994,21914480,666,681,Syntaxe : Syntagme nominal,unit,
21914480_1641315758773,21914480,706,726,Syntaxe : Syntagme nominal,unit,
21914480_1641315769283,21914480,790,811,Syntaxe : Syntagme nominal,unit,
21914480_1641315777886,21914480,851,893,Syntaxe : Syntagme nominal,unit,
21914480_1641315794064,21914480,940,958,Syntaxe : Syntagme nominal,unit,
21914480_1641315799440,21914480,1041,1052,Syntaxe : Syntagme nominal,unit,
21914480_1641315801929,21914480,1056,1073,Syntaxe : Syntagme nominal,unit,
21914480_1641315807070,21914480,1140,1161,Syntaxe : Syntagme nominal,unit,
21914480_1641315828875,21914480,1234,1252,Syntaxe : Syntagme nominal,unit,
21914480_1641315864847,21914480,1642,1662,Syntaxe : Syntagme nominal,unit,
21914480_1641315870673,21914480,1731,1750,Syntaxe : Syntagme nominal,unit,
21914480_1641316328659,21914480,113,120,Coréférence : Maillon,unit,
21914480_1641316331738,21914480,188,190,Coréférence : Maillon,unit,
21914480_1641316435909,21914480,220,227,Coréférence : Maillon,unit,
21914480_1641316566433,21914480,178,182,Coréférence : Maillon,unit,
21914480_1641316617646,21914480,575,577,Coréférence : Maillon,unit,
21914480_1641316717319,21914480,624,627,Coréférence : Maillon,unit,
21914480_1641316739273,21914480,666,681,Coréférence : Maillon,unit,
21914480_1641316741792,21914480,682,687,Coréférence : Maillon,unit,
21914480_1641316777796,21914480,730,734,Coréférence : Maillon,unit,
21914480_1641316782805,21914480,759,761,Coréférence : Maillon,unit,
21914480_1641316802398,21914480,812,821,Coréférence : Maillon,unit,
